year,province,SAC_code,SAC_name,CTUID,fuel_type,fuel_type_description,value
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050041.00,BEV,Battery electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050041.00,PHEV,Plug-in hybrid electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050041.00,ZEV,All zero-emission vehicles (BEV and PHEV),6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050042.00,BEV,Battery electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050042.00,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050042.00,ZEV,All zero-emission vehicles (BEV and PHEV),4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050043.00,BEV,Battery electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050043.00,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050043.00,ZEV,All zero-emission vehicles (BEV and PHEV),4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050044.00,BEV,Battery electric vehicles,6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050044.00,PHEV,Plug-in hybrid electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050044.00,ZEV,All zero-emission vehicles (BEV and PHEV),10
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050045.00,BEV,Battery electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050045.00,PHEV,Plug-in hybrid electric vehicles,10
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050045.00,ZEV,All zero-emission vehicles (BEV and PHEV),14
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050046.00,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050046.00,ZEV,All zero-emission vehicles (BEV and PHEV),2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050048.00,BEV,Battery electric vehicles,9
